State/UT,Hindu Communities,Muslim Communities,Christian Communities,Sikh Communities,Buddhist Communities,Jain Communities,Other Religions & Tribal Faiths
Andhra Pradesh,"Brahmin, Reddy, Kamma, Kapu, Balija, Golla, Mala, Madiga","Labbai, Dudekula","Dalit Christians, Tribal Christians (Lambadi, Yanadi converts)",Sikh migrants,Navayana Buddhists,Digambar Jains,Yanadi tribal religion
Arunachal Pradesh,"Nyishi, Adi (Hindu converts)",Small Muslim trader groups,"Nyishi Christian, Adi Christian",Sikh migrants,Monpa Buddhists,None,Animist tribal faiths
Assam,"Brahmin (Kulin, Shrotriya), Kalita, Koch Rajbongshi, Ahom, Bodo Kachari (Hindu), Kaibarta","Assamese Muslim, Bengali Muslim","Khasi Christian, Bodo Christian",Sikh migrants,Baori Buddhists,Oswal Jain,"Bodo, Karbi tribal faiths"
Bihar,"Brahmin, Rajput, Bhumihar, Yadav, Koeri, Kurmi, Chamar, Dhobi, Dusadh, Musahar","Sheikh, Ansari, Qureshi, Halalkhor","Dalit Christians, Oraon Christian",Mazhabi Sikh,Mahar Buddhists,Oswal Jain,"Santhal, Oraon, Munda (Sarna)"
Chhattisgarh,"Brahmin, Kurmi, Teli, Sahu, Satnami","Qureshi, Ansari","Dalit Christians, Tribal Christians (Gond)",Sikh migrants,Baori Buddhists,Oswal Jain,"Gond, Halba tribal faiths"
Goa,"Goud Saraswat Brahmin, Bhandari, Kharvi",Konkani Muslims,"Goan Catholic, Goan Protestant",Sikh migrants,Neo-Buddhists,Jains (migrants),Gauda tribal religion
Gujarat,"Nagar Brahmin, Patidar, Rajput, Koli, Chamar, Bharwad","Memons, Bohras",Dalit Christians (rare),Sikh migrants,Navayana Buddhists,"Oswal, Porwal, Vania Jains","Rabari, Bhil tribal faiths"
Haryana,"Brahmin, Jat, Rajput, Gujjar, Ahir, Chamar, Balmiki","Meo Muslim, Qureshi",Dalit Christians (rare),"Jat Sikh, Mazhabi Sikh",Navayana Buddhists,Oswal Jain,No major tribal faiths
Himachal Pradesh,"Brahmin, Rajput, Kanet, Chamar","Sunni Muslims, Gujjar Muslims",Dalit Christians (rare),Sikh migrants,Baori Buddhists,Oswal Jain,Gaddi tribal religion
Jharkhand,"Brahmin, Kurmi, Koeri, Teli","Sheikh, Ansari","Dalit Christians, Oraon Christian",Sikh migrants,Baori Buddhists,Oswal Jain,"Santhal, Munda, Oraon, Ho tribal faiths"
Karnataka,"Brahmin, Lingayat, Vokkaliga, Kuruba, Holeya, Madiga","Beary Muslim, Navayath Muslim","Mangalorean Catholic, Dalit Christians",Sikh migrants,Navayana Buddhists,"Digambar, Shwetambar Jains","Soliga, Koraga tribal faiths"
